id,insider_name,insider_title,company_name,ticker,total_trades,avg_pct_change_30d,total_trade_value,win_rate,created_at
167,Fauber Robert,,MOODYS CORP /DE/,MCO,1,5.4901,,100.00,2026-05-22 21:55:00.311389
168,Stazzone Peter,,"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",LIXT,1,76.1092,,100.00,2026-05-22 21:55:00.311389
169,Wanzer Dara,,BANCFIRST CORP /OK/,BANF,1,2.0509,,100.00,2026-05-22 21:55:00.311389
170,Abate George Joseph,,CONDUENT Inc,CNDT,1,32.5758,,100.00,2026-05-22 21:55:00.311389
171,Thompson Rebecca,,"AAON, INC.",AAON,1,3.2739,,100.00,2026-05-22 21:55:00.311389
172,Bendza Gary Mark,,TELOS CORP,TLS,1,5.8252,,100.00,2026-05-22 21:55:00.311389
173,Plevneliev Rosen,,RMR GROUP INC.,RMR,1,14.9684,,100.00,2026-05-22 21:55:00.311389
174,May Scarlett,,CHEESECAKE FACTORY INC,CAKE,1,10.7228,,100.00,2026-05-22 21:55:00.311389
175,Schwartz Sherrie Sage,,KILROY REALTY CORP,KRC,1,23.6712,,100.00,2026-05-22 21:55:00.311389
176,Camblong Jurgi,,SOPHiA GENETICS SA,SOPH,1,4.0404,,100.00,2026-05-22 21:55:00.311389
177,Menu Philippe,,SOPHiA GENETICS SA,SOPH,1,6.8687,,100.00,2026-05-22 21:55:00.311389
178,Finn Mark Steven,,BARRETT BUSINESS SERVICES INC,BBSI,1,4.8003,,100.00,2026-05-22 21:55:00.311389
179,Klencke Barbara,,ALX ONCOLOGY HOLDINGS INC,ALXO,1,23.8390,,100.00,2026-05-22 21:55:00.311389
180,Tavares Nogueira Rogerio,,Vale S.A.,VALE,1,7.1523,,100.00,2026-05-22 21:55:00.311389
181,Kirol Charles Peter,,"PELOTON INTERACTIVE, INC.",PTON,1,11.8393,,100.00,2026-05-22 21:55:00.311389
182,Hukkanen Paul,,SCHOLASTIC CORP,SCHL,1,4.9703,,100.00,2026-05-22 21:55:00.311389
183,Carroll Christina,,NN INC,NNBR,1,79.8450,,100.00,2026-05-22 21:55:00.311389
184,Baugher Joshua Scott,,ARGAN INC,AGX,1,18.9588,,100.00,2026-05-22 21:55:00.311389
185,Holloman James Phillip,,BLACKROCK Ltd DURATION INCOME TRUST,BLW,1,6.6981,,100.00,2026-05-22 21:55:00.311389
186,Forusz Jillian,,ADOBE INC.,ADBE,1,3.1194,,100.00,2026-05-22 21:55:00.311389
187,Howie Jeffrey,,WILLIAMS SONOMA INC,WSM,1,4.1309,,100.00,2026-05-22 21:55:00.311389
188,Ladd Delano,,"HEALTHEQUITY, INC.",HQY,1,0.9922,,100.00,2026-05-22 21:55:00.311389
189,Hess Carl Aaron,,WILLIS TOWERS WATSON PLC,WTW,1,-11.2273,,0.00,2026-05-22 21:55:00.311389
190,Imura Takahiro,,TOYOTA MOTOR CORP/,TM,1,-8.6973,,0.00,2026-05-22 21:55:00.311389
191,Jain Nikunj,,"SANGAMO THERAPEUTICS, INC",SGMO,1,-54.8387,,0.00,2026-05-22 21:55:00.311389
192,Clarke Lucy,,WILLIS TOWERS WATSON PLC,WTW,1,-13.7390,,0.00,2026-05-22 21:55:00.311389
193,Jones Regina,,Archer-Daniels-Midland Co,ADM,1,-5.2438,,0.00,2026-05-22 21:55:00.311389
194,Richardson Larson,,"REPUBLIC SERVICES, INC.",RSG,1,-2.4171,,0.00,2026-05-22 21:55:00.311389
195,Lewis William,,INSMED Inc,INSM,2,-15.4606,,0.00,2026-05-22 21:55:00.311389
196,Kyrillos Jean-Claude,,TANDEM DIABETES CARE INC,TNDM,1,-36.2189,,0.00,2026-05-22 21:55:00.311389
197,Boyages Steven Constantine,,INTELLIGENT BIO SOLUTIONS INC.,INBS,1,-31.0881,,0.00,2026-05-22 21:55:00.311389
198,Kurpis Joseph Stephen,,WILLIS TOWERS WATSON PLC,WTW,1,-11.2273,,0.00,2026-05-22 21:55:00.311389
199,Johnson KLynne,,FMC CORP,FMC,1,-22.2158,,0.00,2026-05-22 21:55:00.311389
200,Rivers Aaron Roszell,,STURM RUGER & CO INC,RGR,1,-9.0513,,0.00,2026-05-22 21:55:00.311389
201,Glendinning Stewart,,"DOLLAR TREE, INC.",DLTR,1,-10.4691,,0.00,2026-05-22 21:55:00.311389
202,Rodriguez Courtney,,"REPUBLIC SERVICES, INC.",RSG,1,-2.4171,,0.00,2026-05-22 21:55:00.311389
203,Meder Timothy,,CF BANKSHARES INC.,CFBK,1,-10.1075,,0.00,2026-05-22 21:55:00.311389
204,Grizzle Victor,,ARMSTRONG WORLD INDUSTRIES INC,AWI,1,-2.6129,,0.00,2026-05-22 21:55:00.311389
